Model,Product Type,Category,Voice Remote Compatible,Voice Remote Pro Compatible,Apple AirPlay,Apple HomeKit,Min Roku OS AirPlay/HomeKit,4K Support,HDR Support,Dolby Vision Support,Bluetooth Audio Streaming,Bluetooth Headphone Mode,Ethernet Adapter Support,Apple TV Channel,Gaming Console Compatible,Google Assistant,Amazon Alexa,Netflix Games on TV,Ambient Light Sensor,Fast TV Start,HDMI-CEC Support,Compatible Ethernet Adapters,Wireless Speakers Compatible,Wireless Bass Compatible,Remote Finder Feature,Rechargeable Remote,Hands-Free Voice,Mobile App Compatible,Lost Remote Finder Button,Built-in Ethernet,WiFi Required,Power Requirements,Battery Powered,Charge Time,Battery Life,WiFi Type,Smart Home App Required,Pro Monitoring Available,Works with Roku TV Only,Max Range,Weatherproof Rating,Video Resolution,Night Vision,Two-Way Audio,Motion Detection,Sound Detection,Cloud Recording with Subscription,Smart Detection,Siren Feature,MicroSD Support
TVWSB,Roku TV Wireless Soundbar,Audio Accessory,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,No,No,No,Yes,No,No,Yes,AC Power,No,N/A,N/A,2.4GHz,No,No,Yes (Roku TV only),N/A,No,N/A,No,No,No,No,No,No,No,No
R2CX,Roku Select Series (2025),Roku TV,Yes,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Varies,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Panel Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
R4CX,Roku Select Series 4K (2025),Roku TV,Yes,Yes,Yes,Yes,N/A,Yes,Varies,Varies,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Varies,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Panel Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
R6CX,Roku Plus Series (2025),Roku TV,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Varies,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Panel Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
R8CX,Roku Pro Series (2025),Roku TV,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Find Remote Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
R8BX,Roku Pro Series (2025),Roku TV,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Find Remote Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
5XXX-Series,Legacy HD/FHD TVs (2015-2017),Roku TV,Yes,No,Limited,Limited,10.0+,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Varies,No,Yes,No,Limited,Limited,Varies,No,No,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
6XXX-Series,Early UHD TVs (2016-2017),Roku TV,Yes,No,Yes,Yes,9.4,Yes,Yes,Varies,No,No,No,Yes,Yes,Yes,Yes,No,Varies,Varies,Yes,No,Some Models,Some Models,Varies,No,No,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
7XXX-Series,Mainstream UHD TVs (2017-2019),Roku TV,Yes,No,Yes,Yes,9.4,Yes,Yes,Varies,Varies,Varies,No,Yes,Yes,Yes,Yes,No,Varies,Varies,Yes,No,Some Models,Some Models,Varies,No,No,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
8XXX-Series,Midrange HD/FHD TVs (2017-2020),Roku TV,Yes,No,Varies,Varies,9.4 or 10.0,Varies,Varies,No,No,No,No,Yes,Yes,Yes,Yes,No,Varies,Varies,Yes,No,Limited,Limited,Varies,No,No,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
AXXX-Series,Reno Platform UHD (2020-2021),Roku TV,Yes,Possibly,Yes,Yes,9.4,Yes,Yes,Varies,Likely,Varies,No,Yes,Yes,Yes,Yes,Varies,Varies,Likely,Yes,No,Yes,Yes,Varies,Varies,Varies,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
CXXX-Series,Malone Platform UHD (2019-2021),Roku TV,Yes,Possibly,Yes,Yes,9.4,Yes,Yes,Varies,Varies,Varies,No,Yes,Yes,Yes,Yes,Varies,Varies,Varies,Yes,No,Yes,Yes,Varies,Varies,Varies,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
DXXX-Series,Roma Platform HD/FHD (2020-2021),Roku TV,Yes,No,Varies,Varies,9.4,Varies,Varies,No,No,No,No,Yes,Yes,Yes,Yes,No,Varies,Varies,Yes,No,Some Models,Some Models,Varies,No,No,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
EXXX-Series,Bandera 8K Platform (2021),Roku TV,Yes,Yes,Yes,Yes,9.4,Yes,Yes,Yes,Yes,Likely,No,Yes,Yes,Yes,Yes,Varies,Varies,Likely,Yes,No,Yes,Yes,Varies,Varies,Varies,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
GXXX-Series,Athens Platform UHD (2021-2022),Roku TV,Yes,Possibly,Yes,Yes,9.4,Yes,Yes,Varies,Likely,Likely,No,Yes,Yes,Yes,Yes,Varies,Varies,Likely,Yes,No,Yes,Yes,Varies,Varies,Varies,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
